class,job,duration (s)
default_data,trick_mc.mc.process_sim_args,0
default_data,trick_cpr.cpr.find_write_checkpoint_jobs,3e-06
default_data,trick_sie.sie.process_sim_args,0
default_data,trick_real_time.rt_sync.get_sim_start_time,1e-06
default_data,trick_inject.create_injector_executors,2.8e-05
default_data,trick_sys.sched.get_freeze_job,1e-06
default_data,trick_message.mpublisher.subscribe,0
default_data,trick_message.mpublisher.subscribe,0
default_data,trick_message.mpublisher.subscribe,0
default_data,trick_message.mpublisher.subscribe,1e-06
default_data,trick_message.mdevice.default_data,2.1e-05
default_data,trick_em.create_thread_process_event,0
default_data,trick_vs.vs.default_data,6e-06
default_data,trick_frame_log.frame_log.default_data,0.000143
default_data,dyn.cannon_default_data,1e-06
default_data,trick_udunits.udunits.read_default_xml,0.003449
input_processor,trick_jit.jit.process_sim_args,1e-06
input_processor,trick_jit.jit.init,0
input_processor,trick_ip.ip.process_sim_args,0
input_processor,trick_ip.ip.init,0.208205
init,trick_vs.vs.init,5.5e-05
init,trick_master_slave.master.process_sim_args,1e-06
init,trick_master_slave.slave.process_sim_args,0
init,trick_master_slave.master.init,1e-06
init,trick_master_slave.slave.init,0
init,trick_mc.mc.execute_monte,0
init,trick_cpr.cpr.write_pre_init_checkpoint,0
init,trick_message.mpublisher.init,2e-06
init,trick_message.mfile.init,8.6e-05
init,trick_message.pfile.init,2e-05
init,trick_message.mdevice.init,5.1e-05
init,trick_vs.monte_carlo_disable_all_apps,0
init,trick_vs.Trick::launch_all_external_applications,0
init,trick_data_record.drd.remove_files,0.001459
init,trick_frame_log.frame_log.create_DP_files,0.00025
init,trick_zero_conf.zc.init,1e-06
init,dyn.cannon_init,1e-05
init,trick_sys.exec_collect_init,0
init,trick_sys.sched.write_s_run_summary,4.2e-05
init,trick_data_record.drd.init,6.4e-05
init,trick_sys.sched.check_all_jobs_handled,6e-06
init,trick_sys.sched.check_all_job_cycle_times,5e-06
init,trick_sys.sched.create_threads,3e-06
init,trick_sys.sched.write_s_job_execution,0.000142
init,trick_sys.sched.async_freeze_to_exec_command,0
init,trick_cpr.cpr.write_post_init_checkpoint,1e-06
init,trick_em.ep.add_pending_events,1e-06
init,trick_real_time.rt_sync.rt_clock->calc_sim_time_ratio,0
init,trick_real_time.rt_sync.initialize,0
init,trick_real_time.rt_sync.start_realtime,0
init,trick_real_time.rt_sync.get_sim_end_init_time,0
